ปี,จังหวัด,รายการ,ประเภท,อำเภอ,จำนวน,หน่วย,ที่มา
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, ศรีสาคร,0.022,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, แว้ง,3.218,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, แว้ง,2.837,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, แว้ง,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, แว้ง,15.039,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, แว้ง,1.362,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, แว้ง,0.273,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, แว้ง,0.067,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, สุคิริน,1.475,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, สุคิริน,0.856,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, สุคิริน,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, สุคิริน,0.374,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, สุคิริน,0.011,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, สุคิริน,0.085,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, สุคิริน,0.025,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, สุไหงโก-ลก,26.33,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, สุไหงโก-ลก,18.349,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, สุไหงโก-ลก,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, สุไหงโก-ลก,39.942,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, สุไหงโก-ลก,1.128,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
