รายการสถิติทางการ,ปี ,อำเภอ,ประเภท,ค่าข้อมูล,หน่วย
รายได้จากการจัดเก็บเงินภาษี,2564,อำเภอกัลยาณิวัฒนา,อื่นๆ,0,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอเมืองเชียงใหม่,บุคคลธรรมดา,"1,232.48",ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอจอมทอง,บุคคลธรรมดา,18.019,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่แจ่ม,บุคคลธรรมดา,5.706,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอเชียงดาว,บุคคลธรรมดา,11.521,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอดอยสะเก็ด,บุคคลธรรมดา,58.825,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่แตง,บุคคลธรรมดา,17.095,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่ริม,บุคคลธรรมดา,124.21,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสะเมิง,บุคคลธรรมดา,3.135,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอฝาง,บุคคลธรรมดา,26.945,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่อาย,บุคคลธรรมดา,10.083,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอพร้าว,บุคคลธรรมดา,8.563,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสันป่าตอง,บุคคลธรรมดา,63.175,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสันกำแพง,บุคคลธรรมดา,109.717,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสันทราย,บุคคลธรรมดา,199.812,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอหางดง,บุคคลธรรมดา,123.259,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอฮอด,บุคคลธรรมดา,9.797,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอดอยเต่า,บุคคลธรรมดา,3.061,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภออมก๋อย,บุคคลธรรมดา,3.554,ล้านบาท
