ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
93.0,DC energy meter,"DC energy : 0.000833 Wh to 50 kWh Voltage : 1 V to 500 V
Current : 0.01 A to 10 A  Time : 300 s to 10 hours",0.42 mWh/Wh to 4.3 mWh/Wh,"5,000 THB to 15,000 THB / channel",Energy Packet,09050-10739
94.0,"Three phase wattmeter, 
Three phase power meter,Three Phase Comparator  Wattmeter AC power meter Wattmeter","Three phase active power : 0 W to 115.2 kW Voltage : 60 V to 480 V Current :0.005 A to 160 A Frequency: 45 Hz to 65 Hz PF:1, 0.5 (inductiv,capactivie), 0 (inductiv,capactivie),"," 54 µW/VA 
to 204 µW/VA","5,000 THB to 20,000 THB",Comparison measurement,09050-10740
95.0,Single phase wattmeter with frequency output AC power meter Wattmeter,"Single phase active power :0.1305 W to 80 kW Voltage : 15 V to 1000 V Current : 0.1 A to 80 A Frequency: 45 Hz to 65 Hz PF:1 to 0.087, (inductive or capacitive)",48 mW/VA to 183 mW/VA,"5,000 THB to 17,500 THB/ channel",Direct with frequency measurement  ,09050-10741
96.0,Three phase wattmeter with frequency output AC power meter Wattmeter ,"Three phase active power: 0.3915 W to 240 kW Voltage : 15 V to 1000 V Current : 0.1 A to 80 A Frequency: 45 Hz to 65 Hz PF:1 to 0.087, (inductive or capacitive)",48 mW/VA to 183 mW/VA,"5,000 THB to 17,500 THB",Direct with frequency measurement  ,09050-10742
97.0,Single phase wattmeter with frequency output AC power meter Wattmeter Wattmeter,"Single phase reactive power :0.1305 var to 80 kvar Voltage : 15 V to 1000 V Current : 0.1 A to 80 A Frequency: 45 Hz to 65 Hz QF:1 to 0.087, (inductive or capacitive)",48 mvar/VA to 183 mvar/VA,"5,000 THB to 17,500 THB",Direct with frequency measurement  ,09050-10743
98.0,Three phase wattmeter with frequency output AC power meter Wattmeter  Wattmeter,"Three phase reactive power: 0.3915 var to 240 kvar Voltage : 15 V to 1000 V Current : 0.1 A to 80 A Frequency: 45 Hz to 65 Hz QF:1 to 0.087, (inductive or capacitive)",48 mvar/VA to 183 mvar/VA,"5,000 THB to 17,500 THB",Direct with frequency measurement  ,09050-10744
99.0,"Ac current clamp meter,Ac clamp meter Clamp meter",AC current Ac current : 10 A to 1500 A Frequency: 16 Hz to 300 Hz,5.045 mA/A,"5,000 THB to 10,000 THB / channel",Indirect measurement,09050-10745
100.0,"AC power meter, Wattmeter","Power factor (PF, cos j) : 1 to 0 Reactive power factor (QF, sin j) : 1 to 0 Voltage: 15 V to 1000 V

 Current: 0.1 A to 80 A  Frequency: 45 Hz to 65 Hz",6×10-6 to 61×10-6,"5,000 THB to 7,500 THB / channel",Direct measurement,09050-10746
101.0,"AC power meter,Wattmeter","Frequency:  16 Hz to 850 Hz Voltage: 1 V to 1000 V

 Current: 0.01 A to 80 A ",0.0011 Hz to 0.050 Hz ,"5,000 THB to 7,500 THB / channel",Direct measurement,09050-10747
102.0,"Single phase wattmeter, Single phase power meter,Single phase power comparator AC power meter Wattmeter","Reactive power	: 0 var to 100 kvar Voltage : 15 V to 1000 V Current : 80 A to 100 A Frequency: 45 Hz to 65 Hz QF:1 to 0, (inductive or capacitive)","134 µvar/VA to 213 µvar/VA
","5,000 THB to 12,500 THB / channel",Direct measurement,09050-10748
103.0,"Three phase wattmeter, Three phase power meter, Three phase power comparator Wattmeter","Reactive power	: 0 var to 300 kvar Voltage : 15 V to 1000 V Current : 80 A to 100 A Frequency: 45 Hz to 65 Hz QF:1 to 0, (inductive or capacitive)","134 µvar/VA  to 213 µvar/VA
","5,000 THB to 12,500 THB",Direct measurement,09050-10749
104.0,"Single phase  wattmeter, Single phase power meter,Single Phase Power comparator,Watt converter","Active power : 0 W to 80 kW Voltage : 15 V to 1000 V Current : 0.1 A to 80 A Frequency: 16 Hz to 400 Hz PF:1 to 0, (inductive or capacitive)",60 µW/VA  to 540 µW/VA,"5,000 THB to 27,500 THB/ channel",Direct measurement,09050-10750
105.0,"Three phase  wattmeter, Three phase power meter,Three Phase Power comparator,","Active power : 0 W to 240 kW Voltage : 15 V to 1000 V Current : 0.1 A to 80 A Frequency: 16 Hz to 400 Hz PF:1 to 0, (inductive or capacitive)",60 µW/VA  to 540 µW/VA,"5,000 THB to 27,500 THB",Direct measurement,09050-10751
106.0,"Single phase  wattmeter, Single phase power meter,Single Phase Power comparator,Watt converter","Reactive power : 0 var to 80 kvar Voltage : 15 V to 1000 V Current : 0.1 A to 80 A Frequency: 16 Hz to 400 Hz QF:1 to 0, (inductive or capacitive)",60 µvar/VA  to 540 µvar/VA,"5,000 THB to 27,500 THB / channel",Direct measurement,09050-10752
107.0,"Three phase  wattmeter, Three phase power meter,Three Phase Power comparator,","Reactive power : 0 var to 240 kvar Voltage : 15 V to 1000 V Current : 0.1 A to 80 A Frequency: 16 Hz to 400 Hz PF:1 to 0, (inductive or capacitive)",60 µvar/VA  to 540 µvar/VA,"5,000 THB to 27,500 THB",Direct measurement,09050-10753
