รหัสหลักสูตร (Course ID),หัวข้อการอบรม (Training Category),ชื่อหลักสูตร (Course Name),วันที่เริ่มต้น (Start Date),วันที่สิ้นสุด (End Date),เวลาเริ่มต้น (Start Time),เวลาสิ้นสุด (End Time),จำนวนรับสมัคร (Capacity),ค่าลงทะเบียน (Price - THB),วันที่ลงข้อมูล (Created Date)
1060,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบ Infrared Thermometer (หลักสูตร 3 วัน),6/24/2026,6/26/2026,08.30 น.,09.00 - 16.30 น.,15,10300,9/22/2025 15:42
1061,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,สถิติสำหรับการวิเคราะห์ทางเคมี,7/13/2026,7/13/2026,08.30 น.,09.00 - 16.30 น.,15,3750,9/22/2025 15:48
1062,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบไฮเกจตามมาตรฐาน JIS B 7517 : 2018 ด้วยเกจบล็อกมาตรฐานและการประเมินค่าความไม่แน่นอนของการวัด,7/13/2026,7/14/2026,08.30 น.,09.00 - 16.30 น.,10,8910,9/22/2025 15:52
1063,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบเครื่องทดสอบแรงดึง-กด ตามมาตรฐาน ISO 7500-1 (UTM),7/14/2026,7/17/2026,08.30 น.,09.00 - 16.30 น.,10,17260,9/22/2025 15:54
1064,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,"การสอบเทียบ parallel thread ring gauge ตาม Calibration Guide, Euramet cg-10",7/15/2026,7/16/2026,08.30 น.,09.00 - 16.30 น.,10,8910,9/22/2025 15:56
1065,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบ Hand Torque Tools ตามมาตรฐาน ISO 6789:2017,7/15/2026,7/17/2026,08.30 น.,09.00 - 16.30 น.,15,10300,9/22/2025 15:57
1066,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การใช้งานและการทวนสอบอินฟราเรดเทอร์โมมิเตอร์,7/17/2026,7/17/2026,08.30 น.,09.00 - 16.30 น.,15,2810,9/22/2025 16:00
1067,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การประยุกต์ใช้ GUM Workbench ในการประเมินความไม่แน่นอนของการวัด,7/20/2026,7/21/2026,08.30 น.,09.00 - 16.30 น.,15,7020,9/22/2025 16:03
1068,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบเครื่องวัดกำลังคลื่นเหนือเสียง (Ultrasound Power Meter),7/20/2026,7/21/2026,08.30 น.,09.00 - 16.30 น.,10,8910,9/22/2025 16:05
1069,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบ Torque Wrench Calibration Devices ตามมาตรฐาน DKD-R 10-8,07-08-2026,07-10-2026,08.30 น.,09.00 - 16.30 น.,8,14200,9/22/2025 16:07
1070,อบรมหลักสูตรมาตรวิทยาประจำปีงบประมาณ 2569 เรื่องการสอบเทียบเครื่องมือวัด,การสอบเทียบเครื่องมือวัดทางการแพทย์ เครื่องควบคุมการให้สารละลายทางหลอดเลือดดำ (Infusion Pump) ** ส่ง Cer. 12 มี.ค.69 **,2/28/2026,2/28/2026,08.30 น.,09.00 - 16.30 น.,10,8910,10-07-2025 15:34
