ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
74.0,"ND Filter (OD0.1, OD0.4, OD1.0)",380 nm to 780 nm,"Spectral regular transmittance
0.74% to 0.86% for OD0.1
0.86% to 1.2% for OD0.4
T<10%, Uabs = 0.29% and T³10%, Urel = 3.1% for OD1.0","10,000/sample",Comparison using the reference spectrophotometer.,13025-34011
75.0,Holmium oxide glass filter,240 nm to 640 nm,Uabs = 0.20 nm,"17,500 for 4 peaks  identification + 1,250 for any additional peak",Comparison using the reference spectrophotometer.,13025-34150
76.0,Fixed point cells,0.01 °C,0.12 mK,"25,000/point 
",Direct realization,11010 - 11111
77.0,Standard Platinum Resistance Thermometer (SPRT),-189.3442 oC ,1 mK,"10,000 / point","By ITS-90 Fixed Point Cells, Sheath for temperature above Zn. Minimum sheath length 450 mm",11010 - 11321
78.0,Semi-Standard Platinum Resistance Thermometer or Platinum Resistance Thermometer,-189.3442 oC ,1 mK,"10,000 / point","By ITS-90 Fixed Point Cells, Sheath for temperature above Zn. Minimum sheath length 450 mm",11010 - 11322
79.0,Standard Platinum Resistance Thermometer (SPRT),-189.3442 oC to 0.01 oC,1.0 mK,"10,000 / point","By ITS-90 Fixed Point Cells, Sheath for temperature above Zn. Minimum sheath length 450 mm",11010 - 11323
80.0,Semi-Standard Platinum Resistance Thermometer or Platinum Resistance Thermometer,-189.3442 oC to 0.01 oC,1.0 mK,"10,000 / point","By ITS-90 Fixed Point Cells, Sheath for temperature above Zn. Minimum sheath length 450 mm",11010 - 11324
81.0,"Fixed-point Blackbody
(Primary and Secondary Fixed-point Black body)",1084.62 oC (ITS-90),0.14 K,"24,000 / point",Comparison to Standard Fixed-point Blackbody using 0.65 µm standard radiation thermometer (ITS-90 or thermodynamic temperature),11030 - 11121
82.0,"Fixed-point Blackbody
(Primary and Secondary Fixed-point Black body)",1 084.62 oC (ITS-90),0.14 K,"24,000 / point",Comparison to Standard Fixed-point Blackbody using 0.9 µm standard radiation thermometer (ITS-90 or thermodynamic temperature),11030 - 11122
83.0,"Fixed-point Blackbody
(Primary and Secondary Fixed-point Black body)",1 084.62 oC,0.19 K,"24,000 / point",Comparison to Standard Fixed-point Blackbody using 1.6 µm standard radiation thermometer,11030 - 11123
84.0,Optical Pyrometer/Standard radiation thermometer,156.5985 °C to 1084.60 °C,0.14 K to 0.40 K,"12,000/point",By Comparison with fixed pont blackbodies (ITS-90),11030 - 11411
85.0,0.9  µm radiation thermometer,960 °C to 2000 °C,0.2 K to 1.1 K,"48,000/point",Direct realisation by measurement of,11030 - 11412
86.0,0.65  µm radiation thermometer,960 °C to 2500 °C,0.2 K to 1.4 K,"48,000/point",Direct realisation by measurement of,11030 - 11413
87.0,650 nm / 900 nm Standard radiation thermometer ,1084.6721 °C,0.16 K to 0.22 K,"12,000",By Comparison with Cu fixed point blackbody (Thermodynamic temperature),11030 - 17121
88.0,650 nm radiation thermometer,960 °C to 2500 °C,0.20 K to 1.45 K,"48,000",Direct realisation by measurement of spectral responsivity (Thermodynamic temperature),11030 - 17122
89.0,Variable Temperature Blackbody Radiation Sources,0 ºC to < 15 ºC,0.4 K,"7,500 /point",Comparison with reference blackbodies through infrared thermometer spectral wavelength 8 mm to 13 mm,11030-12521 
90.0,Variable Temperature Blackbody Radiation Sources,15 ºC to 500 ºC,0.4 K to 2.1 K,"8,500 first point + 3,750/next point",,11030-12525
91.0,Variable Temperature Blackbody Radiation Sources,-40 ºC to < 15 ºC,0.5 K to 0.2 K,"7,500 /point",Comparison with reference blackbodies through infrared thermometer spectral wavelength 8 mm to 14 mm,11030-12526
92.0,Variable Temperature Blackbody Radiation Sources,15 ºC to 300 ºC,0.2 K to 0.46 K,"8,500 first point + 3,750/next point",Comparison with reference blackbodies through infrared thermometer spectral wavelength 8 mm to 14 mm,11030-12527
93.0,Variable Temperature Blackbody Radiation Sources,300 ºC to 600 ºC,0.46 K to 0.80 K,"8,500 first point + 6,250/next point",Comparison with reference blackbodies through infrared thermometer spectral wavelength 8 mm to 14 mm,11030-12520
94.0,Variable Temperature Blackbody Radiation Sources,150 ºC to 1 100 ºC,0.7 K to 1.6 K,"8,500 first point + 3,750/next point",Comparison with 1.6 mm standard radiation thermometer ,11030-12522
95.0,Variable Temperature Blackbody Radiation Sources,1 000 ºC to 2 500 ºC,1.6 K to 2.8 K,"8,500 first point + 3,750/next point",Comparison with 650 nm standard radiation thermometer ,11030-12523
96.0,Variable Temperature Blackbody Radiation Sources,420 ºC to 1 600 ºC,0.8 K to 2.0 K,"8,500 first point + 3,750/next point",Comparison with 900 nm standard radiation thermometer ,11030-12528
97.0,Variable Temperature Blackbody Radiation Sources,400 ºC to 1 000 ºC,1.2 K to 2.0 K,"8,500 first point + 3,750/next point",Comparison with  8 mm to 14 mm standard radiation thermometer ,11030-12529
98.0,Variable temperature blackbody sources for infrared ear/forehead thermometers ,22 º C to 42 ºC,44 mK,"7,500 first point + 2,500/next point",Comparison with standard liquid bath blackbodies through infrared ear thermometers,11030 - 12524
99.0,Effective emissivity for variable temperature blackbody cavity (temperature range 22 °C to 42 °C),0 to 1,0.037 to 0.0025,"2,500",Comparison with standard blackbody cavity by measurement of temperature difference ,11030 - 16311
100.0,Radiation Thermometer/Infrared Thermometer/Thermal imaging Camera,-40 °C to 15 °C,0.15 K to 0.30 K,"5,000 /point*",By Comparison with PRT or Transfer Standard Radiation Thermometer,11030 - 12541
101.0,Radiation Thermometer/Infrared Thermometer/Thermal imaging Camera,>15 °C to < 1100 °C,0.15 K to 3.0 K,"7,500 first point+2,000/next point",By Comparison with Transfer Standard Radiation Thermometer or PRT,11030 - 12542
102.0,Radiation Thermometer/Infrared Thermometer/Thermal imaging Camera,300 °C to 600 °C,0.45 K to 0.80 K,"7,500 first point+4,500/next point",By Comparison with PRT or Transfer Standard Radiation Thermometer,11030 - 12546
103.0,Radiation Thermometer/Infrared Thermometer/Thermal imaging Camera,1100 °C to 2500 °C,2 K to 5 K,"8,500 first point+ 3,000/next point",By Comparison with Transfer Standard Radiation Thermometer,11030 - 12543
104.0,"Infrared ear thermometers 
(Resolution ³ 0.1 K)",35 ºC to 42 ºC,0.2 K,"3,750 first point + 1,000/next point",Comparison with PRT in liquid bath blackbody ,11030 - 12544
105.0,"Infrared ear thermometer 
(Resolution < 0.1 K)",35 ºC to 42 ºC,0.10 K,"3,750 first point + 1,000/next point",Comparison with PRT in liquid bath blackbody ,11030 - 12545
106.0,"Spectral emittance (emissivity)
(non-IR transparent material)","0 < E < 1
 1 500 nm to 2 500 nm ",6 % to 9.5 %,"3,750 /sample",Comparison with gold-coated reference standard,11050-16311
107.0,"Spectral emittance (emissivity)
(non-IR transparent material)","0.9 ? E < 1
 5 mm to 20 mm",6%,"5,000 /sample",Comparison with gold-coated reference standard,11050-16312
108.0,Thermal conductivity of solid insulation materials,"(0 to 2) W/m·K 
temperature 25 °C",2%,"35,000 /point",Measurement by Guarded Hot Plate (GHP) Method,11050-16111
109.0,Standard Platinum Resistance Thermometer (SPRTs),-196oC,16 mK,"6,500 first point
 +  1,500/next point
At least 6 points",By Comparison with SPRTs in stirred liquid bath Minimum sheath length 300 mm,11020 - 12221
110.0,Industrial Platinum Resistance Thermometers (IPRTs),-196oC,16 mK,"6,500 first point
 +  1,500/next point
At least 6 points",By Comparison with SPRTs in stirred liquid bath Minimum sheath length 300 mm,11020 - 12222
111.0,Thermistors,-80 º C to 100  º C,10 mK,"3,000 first point + 1,500/next point",Comparison with SPRTs in stirred liquid baths,11020-12231 
112.0,"Noble-metal Thermocouples
(Type S, Type R, Type B)",231.928 °C,0.1 K,7500 bath/point,"By ITS-90 Fixed Point Cells
",11020 - 12311
113.0,Pure-metal thermocouples ,231.928 °C,0.05 K,"8,000 bath/point  for Sn, Zn, Al  and
10,000 bath for
Ag, Cu, Co-C",By ITS-90 Fixed Point Cells / Co-C fixed point cell  (At least 3 points),11020 - 12331
