Year,Province,District,Dataset_Group,Dataset_name,Item,Vlue,Unit,Source,หน่วยงานเจ้าของข้อมูล
2566,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,75.53,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,13.6,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,2.6,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,หนองเสือ,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,41.74,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,หนองเสือ,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,122.54,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,หนองเสือ,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,หนองเสือ,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,92.78,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,หนองเสือ,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,0.23,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,หนองเสือ,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,1.35,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,หนองเสือ,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,0.25,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
