ชื่อข้อมูล,ปี,จังหวัด/อำเภอ, ครัวเรือนเกษตรกร ,หน่วย,เจ้าของข้อมูล
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2566,ศรีประจันต์," 1,022 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2566,ดอนเจดีย์, 173 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2566,สองพี่น้อง," 6,736 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2566,สามชุก, 496 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2566,อู่ทอง," 5,809 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2566,หนองหญ้าไซ, 112 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2567,จังหวัดสุพรรณบุรี," 47,332 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2567,เมืองสุพรรณบุรี," 6,960 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2567,เดิมบางนางบวช," 7,120 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2567,ด่านช้าง, 5 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2567,บางปลาม้า," 8,105 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2567,ศรีประจันต์," 3,392 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2567,ดอนเจดีย์, 993 ,ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2567,สองพี่น้อง," 7,296 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2567,สามชุก," 4,814 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2567,อู่ทอง," 6,603 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
จำนวนเกษตรกรที่ปลูกข้าวนาปรัง,2567,หนองหญ้าไซ," 3,008 ",ครัวเรือน,สำนักงานเกษตรจังหวัดสุพรรณบุรี
