YEA_GOV,PROV,TAX_TYPE,FORM_CODE,AMT_RCV
2567,จันทบุรี,001,ภงด91,30443625.60
2567,จันทบุรี,001,ภงด94,28838348.10
2567,จันทบุรี,002,ทป3,11948980.25
2567,จันทบุรี,002,ป2,832200.00
2567,จันทบุรี,002,ภงด50,234335444.07
2567,จันทบุรี,002,ภงด51,239614875.06
2567,จันทบุรี,002,ภงด53,120720817.13
2567,จันทบุรี,002,ภงด54,696064.34
2567,จันทบุรี,002,ภงด55,413510.68
2567,จันทบุรี,005,ทป3,13686285.03
2567,จันทบุรี,005,ป2,383500.00
2567,จันทบุรี,005,ภพ30,678453134.58
2567,จันทบุรี,005,ภพ36,2687551.71
2567,จันทบุรี,006,ทป3,545149.50
2567,จันทบุรี,006,ป2,79600.00
2567,จันทบุรี,006,ภธ40,36158407.77
2567,จันทบุรี,007,ทป3,11168.40
2567,จันทบุรี,007,อส10,6171722.00
2567,จันทบุรี,007,อส10.1,1035380.00
2567,จันทบุรี,007,อส4,1633040.62
2567,จันทบุรี,007,อส4ก,54153.00
2567,จันทบุรี,007,อส4ข,2540664.00
2567,จันทบุรี,007,อส9,3969802.00
2567,จันทบุรี,010,รบ1,4.00
2567,จันทบุรี,011,ป2,544100.00
2567,จันทบุรี,015,รบ1,1.00
2567,ฉะเชิงเทรา,001,ทป3,91606515.98
2567,ฉะเชิงเทรา,001,ป2,1520300.00
2567,ฉะเชิงเทรา,001,ภงด1,1917379807.36
2567,ฉะเชิงเทรา,001,ภงด2,300484917.70
2567,ฉะเชิงเทรา,001,ภงด3,205419439.56
2567,ฉะเชิงเทรา,001,ภงด90,114637212.32
2567,ฉะเชิงเทรา,001,ภงด91,178065062.85
2567,ฉะเชิงเทรา,001,ภงด93,2270101.72
2567,ฉะเชิงเทรา,001,ภงด94,33240871.04
2567,ฉะเชิงเทรา,002,ทป3,58755227.58
2567,ฉะเชิงเทรา,002,ป2,2408200.00
2567,ฉะเชิงเทรา,002,ภงด50,2677543071.09
2567,ฉะเชิงเทรา,002,ภงด51,2841212365.91
2567,ฉะเชิงเทรา,002,ภงด53,1631023189.11
2567,ฉะเชิงเทรา,002,ภงด54,4161722180.98
2567,ฉะเชิงเทรา,002,ภงด55,1337531.31
2567,ฉะเชิงเทรา,005,ทป3,42928149.02
2567,ฉะเชิงเทรา,005,ป2,1017500.00
2567,ฉะเชิงเทรา,005,ภพ30,4911828529.50
2567,ฉะเชิงเทรา,005,ภพ30.2,521.46
2567,ฉะเชิงเทรา,005,ภพ36,853565910.50
2567,ฉะเชิงเทรา,006,ทป3,17623.31
2567,ฉะเชิงเทรา,006,ป2,40600.00
2567,ฉะเชิงเทรา,006,ภธ40,47887373.36
2567,ฉะเชิงเทรา,007,ทป3,4654804.75
2567,ฉะเชิงเทรา,007,อส10,6203952.29
2567,ฉะเชิงเทรา,007,อส10.1,2245002.00
2567,ฉะเชิงเทรา,007,อส4,14552057.75
2567,ฉะเชิงเทรา,007,อส4ก,111825.00
2567,ฉะเชิงเทรา,007,อส4ข,4087233.50
2567,ฉะเชิงเทรา,007,อส9,14841639.00
2567,ฉะเชิงเทรา,011,ป2,2063900.00
2567,ฉะเชิงเทรา,015,รบ1,8.89
2567,ชลบุรี,001,ทป3,451732903.07
2567,ชลบุรี,001,ป2,6687100.00
2567,ชลบุรี,001,ภงด1,8890895598.86
2567,ชลบุรี,001,ภงด2,872660894.93
2567,ชลบุรี,001,ภงด3,1171220842.63
2567,ชลบุรี,001,ภงด90,552142161.31
2567,ชลบุรี,001,ภงด91,738151395.54
2567,ชลบุรี,001,ภงด93,21117533.95
2567,ชลบุรี,001,ภงด94,137832805.41
2567,ชลบุรี,002,ทป3,121318166.57
2567,ชลบุรี,002,ป2,12828500.00
2567,ชลบุรี,002,ภงด50,11072450679.35
2567,ชลบุรี,002,ภงด51,11838235223.85
2567,ชลบุรี,002,ภงด52,2303072.20
2567,ชลบุรี,002,ภงด53,8200443088.32
2567,ชลบุรี,002,ภงด54,12242498418.70
2567,ชลบุรี,002,ภงด55,2025078.97
2567,ชลบุรี,005,ทป3,364410193.42
2567,ชลบุรี,005,ป2,5832500.00
2567,ชลบุรี,005,ภพ30,23906248699.04
2567,ชลบุรี,005,ภพ30.2,31985.63
2567,ชลบุรี,005,ภพ36,4058235229.85
2567,ชลบุรี,006,ทป3,2718720.13
2567,ชลบุรี,006,ป2,190400.00
2567,ชลบุรี,006,ภธ40,278914413.70
2567,ชลบุรี,007,ทป3,1917850.02
2567,ชลบุรี,007,อส10,33263718.30
2567,ชลบุรี,007,อส10.1,621331.00
2567,ชลบุรี,007,อส4,106970622.35
2567,ชลบุรี,007,อส4ก,750604.53
2567,ชลบุรี,007,อส4ข,13680228.57
2567,ชลบุรี,007,อส9,113673403.00
2567,ชลบุรี,009,รบ1,572.00
2567,ชลบุรี,010,รบ1,1.00
2567,ชลบุรี,011,ป2,6777800.00
2567,ชลบุรี,015,รบ1,5615.28
2567,ชลบุรี,070,ภม60,22047670.50
2567,ชัยนาท,001,ทป3,17097929.00
2567,ชัยนาท,001,ป2,696600.00
2567,ชัยนาท,001,ภงด1,26793046.86
2567,ชัยนาท,001,ภงด2,14905656.46
2567,ชัยนาท,001,ภงด3,30394854.50
2567,ชัยนาท,001,ภงด90,27867944.38
2567,ชัยนาท,001,ภงด91,15600864.17
2567,ชัยนาท,001,ภงด93,119569.77
2567,ชัยนาท,001,ภงด94,7334376.00
2567,ชัยนาท,002,ทป3,2407264.11
2567,ชัยนาท,002,ป2,234200.00
2567,ชัยนาท,002,ภงด50,78377837.80
2567,ชัยนาท,002,ภงด51,39131384.52
2567,ชัยนาท,002,ภงด53,128863154.87
2567,ชัยนาท,002,ภงด55,85992.99
2567,ชัยนาท,005,ทป3,6831814.30
2567,ชัยนาท,005,ป2,215800.00
2567,ชัยนาท,005,ภพ30,282384119.06
2567,ชัยนาท,005,ภพ36,912771.13
2567,ชัยนาท,006,ทป3,50978.07
2567,ชัยนาท,006,ป2,2600.00
2567,ชัยนาท,006,ภธ40,12466415.50
2567,ชัยนาท,007,อส10,2914365.00
2567,ชัยนาท,007,อส10.1,364029.00
2567,ชัยนาท,007,อส4,556758.50
2567,ชัยนาท,007,อส4ก,16938.00
2567,ชัยนาท,007,อส4ข,203878.50
2567,ชัยนาท,007,อส9,2974940.00
2567,ชัยนาท,011,ป2,266500.00
2567,ชัยภูมิ,001,ทป3,42356860.31
2567,ชัยภูมิ,001,ป2,1845800.00
2567,ชัยภูมิ,001,ภงด1,60951565.89
2567,ชัยภูมิ,001,ภงด2,3516602.62
2567,ชัยภูมิ,001,ภงด3,58296963.02
2567,ชัยภูมิ,001,ภงด90,44017133.70
2567,ชัยภูมิ,001,ภงด91,33892353.97
2567,ชัยภูมิ,001,ภงด93,72393426.50
2567,ชัยภูมิ,001,ภงด94,13537217.89
2567,ชัยภูมิ,002,ทป3,4212565.44
2567,ชัยภูมิ,002,ป2,538400.00
2567,ชัยภูมิ,002,ภงด50,85508676.35
2567,ชัยภูมิ,002,ภงด51,88982668.86
2567,ชัยภูมิ,002,ภงด53,114444015.59
2567,ชัยภูมิ,002,ภงด54,3060.98
2567,ชัยภูมิ,002,ภงด55,441548.77
2567,ชัยภูมิ,005,ทป3,15616885.20
2567,ชัยภูมิ,005,ป2,900000.00
2567,ชัยภูมิ,005,ภพ30,1030072042.02
2567,ชัยภูมิ,005,ภพ36,1197840.18
2567,ชัยภูมิ,006,ทป3,21730.51
2567,ชัยภูมิ,006,ป2,32500.00
2567,ชัยภูมิ,006,ภธ40,40098158.43
2567,ชัยภูมิ,007,อส10,5605434.06
2567,ชัยภูมิ,007,อส10.1,1462618.00
2567,ชัยภูมิ,007,อส4,2904886.42
2567,ชัยภูมิ,007,อส4ก,59532.00
2567,ชัยภูมิ,007,อส4ข,922775.00
2567,ชัยภูมิ,007,อส9,4941471.00
2567,ชัยภูมิ,010,รบ1,4.00
2567,ชัยภูมิ,011,ป2,432300.00
2567,ชัยภูมิ,015,รบ1,0.50
2567,ชุมพร,001,ทป3,34522845.49
2567,ชุมพร,001,ป2,1160500.00
2567,ชุมพร,001,ภงด1,53278535.41
2567,ชุมพร,001,ภงด2,27983461.27
2567,ชุมพร,001,ภงด3,48473868.35
2567,ชุมพร,001,ภงด90,52683888.11
2567,ชุมพร,001,ภงด91,21248021.14
2567,ชุมพร,001,ภงด93,18861690.72
