YEA_GOV,MON,TAX_TYPE,FORM_CODE,AMT_RCV
2567,11,007,อส4ก,17253802.23000000
2567,11,007,อส4ข,296323153.84000000
2567,11,007,อส9,90874196.00000000
2567,12,001,ทป3,383820249.22000000
2567,12,002,ทป3,524773239.60000000
2567,12,004,ทป3,50000.00000000
2567,12,005,ทป3,294231310.54000000
2567,12,006,ทป3,7188710.18000000
2567,12,007,ทป3,2584424.70000000
2567,12,070,ทป3,75600.00000000
2567,12,001,ป2,12478500.00000000
2567,12,002,ป2,22516900.00000000
2567,12,005,ป2,7556600.00000000
2567,12,006,ป2,216300.00000000
2567,12,011,ป2,10039200.00000000
2567,12,001,ภงด1,15703700346.24000000
2567,12,001,ภงด2,4529563445.34000000
2567,12,001,ภงด3,2108718470.51000000
2567,12,002,ภงด50,1849744196.89000000
2567,12,002,ภงด51,28079120107.74000000
2567,12,002,ภงด52,2113528.47000000
2567,12,002,ภงด53,15723353695.00000000
2567,12,002,ภงด54,11597212994.70000000
2567,12,002,ภงด55,22657097.16000000
2567,12,001,ภงด90,126864673.44000000
2567,12,001,ภงด91,53103207.17000000
2567,12,001,ภงด93,82625444.04000000
2567,12,001,ภงด94,47122110.80000000
2567,12,003,ภงป70,532909644.69000000
2567,12,006,ภธ40,3334888089.87000000
2567,12,005,ภพ30,42093045269.52000000
2567,12,005,ภพ30.2,50624.03000000
2567,12,005,ภพ309,456781805.61000000
