YEA_GOV,MON,TAX_TYPE,FORM_CODE,AMT_RCV
"2565","02","002","ภงด51",1320042891.53999999
"2565","02","002","ภงด52",6217029.23000000
"2565","02","002","ภงด53",13866026106.12999793
"2565","02","002","ภงด54",4788194970.22999999
"2565","02","002","ภงด55",38238044.94000000
"2565","02","003","ภงป70",3705639933.29000000
"2565","02","004","ทป3",332057.86000000
"2565","02","005","ทป3",376754612.75999995
"2565","02","005","ภพ30",40577877459.57999970
"2565","02","005","ภพ30.2",10349482.62000000
"2565","02","005","ภพ309",593102325.44000000
"2565","02","005","ภพ36",4125366980.78999995
"2565","02","006","ทป3",9427439.90999999
"2565","02","006","ภธ40",2348717113.37999999
"2565","02","007","ทป3",5612395.34000000
"2565","02","007","อส10",70889653.63000000
"2565","02","007","อส10.1",4469200.00000000
"2565","02","007","อส4",317202476.55000000
"2565","02","007","อส4ก",17247452.67000000
"2565","02","007","อส4ข",281293069.45000000
"2565","02","007","อส9",82419681.00000000
"2565","02","010","รบ1",22.00000000
"2565","02","011","ป2",37395358.00000000
"2565","02","015","รบ1",692.28000000
"2565","02","070","ภม60",8061312.86000000
"2565","02","999","รบ1",0.88000000
"2565","03","001","ทป3",176251290.30999993
"2565","03","001","ภงด1",19464965906.04999969
"2565","03","001","ภงด2",2461208954.22999993
"2565","03","001","ภงด3",1705244988.06999859
"2565","03","001","ภงด90",5638791164.98999994
"2565","03","001","ภงด91",6124165794.68999999
"2565","03","001","ภงด93",487149325.97000000
"2565","03","001","ภงด94",103899454.20000000
"2565","03","002","ทป3",269229073.64999998
"2565","03","002","ป2",17950000.00000000
"2565","03","002","ภงด50",4090877278.53999995
"2565","03","002","ภงด51",1152492119.70000000
"2565","03","002","ภงด52",207169318.81000000
"2565","03","002","ภงด53",13151741464.81999808
"2565","03","002","ภงด54",6513759446.94999999
"2565","03","002","ภงด55",65138032.15000000
"2565","03","004","ทป3",1162933.74000000
"2565","03","005","ทป3",353170337.39999990
"2565","03","005","ภพ30",38015603136.60999966
"2565","03","005","ภพ30.2",119306.29000000
"2565","03","005","ภพ309",543969940.50000000
"2565","03","005","ภพ36",4835876023.09999996
"2565","03","006","ทป3",9604384.17000000
"2565","03","006","ภธ40",2189839579.43999998
"2565","03","007","ทป3",14568652.06000000
"2565","03","007","อส10",80348674.98000000
"2565","03","007","อส10.1",5032885.00000000
"2565","03","007","อส4",408593368.21000000
"2565","03","007","อส4ก",15563302.70000000
"2565","03","007","อส4ข",255410043.13000000
"2565","03","007","อส9",53522518.00000000
"2565","03","009","รบ1",3725.00000000
"2565","03","010","รบ1",27.00000000
"2565","03","011","ป2",55347502.18000000
"2565","03","015","รบ1",2357.89000000
"2565","03","070","ทป3",1456802.00000000
"2565","03","070","ภม60",90130310.33000000
"2565","04","001","ทป3",1060085506.92999997
"2565","04","001","ภงด1",21478190017.62999976
"2565","04","001","ภงด2",2822576792.29999996
"2565","04","001","ภงด3",1849534229.47999880
"2565","04","001","ภงด90",4744811843.75000000
"2565","04","001","ภงด91",3764746658.97999998
"2565","04","001","ภงด93",221603482.48000000
"2565","04","001","ภงด94",53082995.91000000
"2565","04","002","ทป3",386488596.37999999
"2565","04","002","ป2",100000.00000000
"2565","04","002","ภงด50",1211645677.37999999
"2565","04","002","ภงด51",1216680306.27999998
"2565","04","002","ภงด52",136243887.43000000
"2565","04","002","ภงด53",15306779791.12999838
"2565","04","002","ภงด54",6580329925.66999999
"2565","04","002","ภงด55",62100676.01000000
"2565","04","003","ภงป73",31724.70000000
"2565","04","005","ทป3",291374510.75999997
"2565","04","005","ภพ30",44165556828.28999961
"2565","04","005","ภพ30.1",2240.67000000
"2565","04","005","ภพ30.2",38687.87000000
"2565","04","005","ภพ309",591131347.20000000
"2565","04","005","ภพ36",4298272653.60999994
"2565","04","006","ทป3",10018085.66000000
"2565","04","006","ภธ40",2668267556.96999997
"2565","04","007","ทป3",2211899.58000000
"2565","04","007","อส10",74267491.47000000
"2565","04","007","อส10.1",4017450.00000000
"2565","04","007","อส4",324008224.69000000
"2565","04","007","อส4ก",15250197.60000000
"2565","04","007","อส4ข",275030773.43000000
"2565","04","007","อส9",65484986.00000000
"2565","04","009","รบ1",30407.50000000
"2565","04","010","รบ1",32.00000000
"2565","04","011","ป2",48824477.00000000
