year,Province,Amphone,district,Item,Value,Unit,Source
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ทองเอน,จำนวนเกษตรกรในพืนที่,953,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ห้วยชัน,จำนวนเกษตรกรในพืนที่,580,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.โพธิ์ชัย,จำนวนเกษตรกรในพืนที่,523,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางพุทรา,จำนวนเกษตรกรในพืนที่,27,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางมัญ,จำนวนเกษตรกรในพืนที่,510,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.โพกรวม,จำนวนเกษตรกรในพืนที่,437,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ม่วงหมู่,จำนวนเกษตรกรในพืนที่,425,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.หัวไผ่,จำนวนเกษตรกรในพืนที่,823,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ต้นโพธิ์,จำนวนเกษตรกรในพืนที่,484,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.จักรสีห์,จำนวนเกษตรกรในพืนที่,732,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางกระบือ,จำนวนเกษตรกรในพืนที่,599,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.สิงห์,จำนวนเกษตรกรในพืนที่,424,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.ไม้ดัด,จำนวนเกษตรกรในพืนที่,809,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.เชิงกลัด,จำนวนเกษตรกรในพืนที่,646,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.โพชนไก่,จำนวนเกษตรกรในพืนที่,570,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.แม่ลา,จำนวนเกษตรกรในพืนที่,294,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.บ้านจ่า,จำนวนเกษตรกรในพืนที่,550,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.พักทัน,จำนวนเกษตรกรในพืนที่,759,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.สระแจง,จำนวนเกษตรกรในพืนที่,665,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.โพทะเล,จำนวนเกษตรกรในพืนที่,676,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.บางระจัน,จำนวนเกษตรกรในพืนที่,553,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.โพสังโฆ,จำนวนเกษตรกรในพืนที่,505,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.ท่าข้าม,จำนวนเกษตรกรในพืนที่,303,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.คอทราย,จำนวนเกษตรกรในพืนที่,297,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.หนองกระทุ่ม,จำนวนเกษตรกรในพืนที่,340,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.พระงาม,จำนวนเกษตรกรในพืนที่,598,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.พรหมบุรี,จำนวนเกษตรกรในพืนที่,298,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บางน้ำเชี่ยว,จำนวนเกษตรกรในพืนที่,323,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บ้านหม้อ,จำนวนเกษตรกรในพืนที่,687,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บ้านแป้ง,จำนวนเกษตรกรในพืนที่,217,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.หัวป่า,จำนวนเกษตรกรในพืนที่,224,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.โรงช้าง,จำนวนเกษตรกรในพืนที่,387,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.ถอนสมอ,จำนวนเกษตรกรในพืนที่,742,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.โพประจักษ์,จำนวนเกษตรกรในพืนที่,457,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.วิหารขาว,จำนวนเกษตรกรในพืนที่,344,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.พิกุลทอง,จำนวนเกษตรกรในพืนที่,371,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.อินทร์บุรี,จำนวนเกษตรกรในพืนที่,721,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ประศุก,จำนวนเกษตรกรในพืนที่,822,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ทับยา,จำนวนเกษตรกรในพืนที่,646,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.งิ้วราย,จำนวนเกษตรกรในพืนที่,771,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ชีน้ำร้าย,จำนวนเกษตรกรในพืนที่,805,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ท่างาม,จำนวนเกษตรกรในพืนที่,740,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.น้ำตาล,จำนวนเกษตรกรในพืนที่,506,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
