year,Province,Amphone,type,Item,Value,Unit,Source
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,4,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,2466,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,40,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,1501,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,15,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,2463,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,29,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,1312,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,13,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,962,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
