year,Province,Amphone,district,Item,  Value ,Unit,Source
2562,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.ท่าข้าม,จำนวนเกษตรกรผู้ปลูกข้าว,132,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.คอทราย,จำนวนเกษตรกรผู้ปลูกข้าว,373,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.หนองกระทุ่ม,จำนวนเกษตรกรผู้ปลูกข้าว,279,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.พระงาม,จำนวนเกษตรกรผู้ปลูกข้าว,197,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.พรหมบุรี,จำนวนเกษตรกรผู้ปลูกข้าว,90,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บางน้ำเชี่ยว,จำนวนเกษตรกรผู้ปลูกข้าว,127,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บ้านหม้อ,จำนวนเกษตรกรผู้ปลูกข้าว,315,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บ้านแป้ง,จำนวนเกษตรกรผู้ปลูกข้าว,136,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.หัวป่า,จำนวนเกษตรกรผู้ปลูกข้าว,146,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.โรงช้าง,จำนวนเกษตรกรผู้ปลูกข้าว,129,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.ถอนสมอ,จำนวนเกษตรกรผู้ปลูกข้าว,197,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.โพประจักษ์,จำนวนเกษตรกรผู้ปลูกข้าว,399,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.วิหารขาว,จำนวนเกษตรกรผู้ปลูกข้าว,160,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.พิกุลทอง,จำนวนเกษตรกรผู้ปลูกข้าว,177,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.อินทร์บุรี,จำนวนเกษตรกรผู้ปลูกข้าว,215,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
