year,Province,Amphone,district,Item,Value,Unit,Source
2566,จังหวัดสิงห์บุรี,อินทร์บุรี,น้ำตาล,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,453,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อินทร์บุรี,ทองเอน,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,844,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อินทร์บุรี,ห้วยชัน,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,974,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อินทร์บุรี,โพธิ์ชัย,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,607,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,ค่ายบางระจัน,คอทราย,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,374,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,ค่ายบางระจัน,โพทะเล,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,498,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,ค่ายบางระจัน,บางระจัน,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,446,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,ค่ายบางระจัน,ท่าข้าม,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,124,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,ค่ายบางระจัน,โพสังโฆ,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,286,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,ค่ายบางระจัน,หนองกระทุ่ม,จำนวนเกษตรกรที่ปลูกข้าวและลงทะเบียนเกษตรกร,288,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
