ปี,จังหวัด,โค,กระบือ,สุกร
2563,นครปฐม,8165,0,431314
2563,สมุทรสาคร,0,0,15438
2563,สมุทรสงคราม,0,0,0
2563,เพชรบุรี,4044,0,31331
2563,ประจวบคีรีขันธ์,868,59,65263
2563,นครศรีธรรมราช,855,0,114876
2563,กระบี่,624,0,37092
2563,พังงา,1484,0,20742
2563,ภูเก็ต,0,0,19695
2563,สุราษฎร์ธานี,390,0,58994
2563,ระนอง,0,0,0
2563,ชุมพร,300,0,29158
2563,ตรัง,74,0,40815
2563,พัทลุง,1351,0,230683
2563,สงขลา,58,0,0
2563,สตูล,1644,0,12365
2563,ปัตตานี,1560,0,5230
2563,ยะลา,7088,0,34452
2563,นราธิวาส,1788,0,15337
2564,กรุงเทพมหานคร,1275,10,1070
2564,นนทบุรี,2906,0,0
2564,ปทุมธานี,38729,0,426287
2564,พระนครศรีอยุธยา,868,0,10185
2564,อ่างทอง,0,0,64055
2564,ลพบุรี,5489,0,478186
2564,สิงห์บุรี,120,0,17183
2564,ชัยนาท,695,115,45960
2564,สระบุรี,2719,0,317887
2564,สมุทรปราการ,0,0,24960
2564,ชลบุรี,1518,23,169774
2564,ระยอง,2707,0,218621
2564,จันทบุรี,133,0,68635
2564,ตราด,0,0,32893
2564,ฉะเชิงเทรา,4228,0,481913
2564,ปราจีนบุรี,152,226,102908
2564,นครนายก,0,0,33580
2564,สระแก้ว,1225,24,157433
2564,นครราชสีมา,24414,3590,268540
2564,บุรีรัมย์,358,58,6102
2564,ศรีสะเกษ,5017,189,84984
2564,สุรินทร์,1728,68,22178
2564,อุบลราชธานี,73000,0,165250
2564,ยโสธร,7477,0,82665
2564,ชัยภูมิ,3482,0,48251
2564,อำนาจเจริญ,3030,128,6239
2564,หนองบัวลำภู,2050,559,127611
2564,ขอนแก่น,15403,0,192380
2564,อุดรธานี,11678,1057,137945
2564,เลย,5974,3301,33150
2564,หนองคาย,3268,3,113193
2564,มหาสารคาม,7478,283,36830
2564,ร้อยเอ็ด,38871,0,90853
2564,กาฬสินธุ์,11589,626,54914
2564,นครพนม,7931,7804,47191
2564,มุกดาหาร,8961,444,17938
2564,สกลนคร,26788,3653,80238
2564,บึงกาฬ,2850,1248,20249
2564,เชียงใหม่,1823,3462,781099
2564,ลำพูน,0,0,75815
2564,ลำปาง,8926,1334,52731
2564,แพร่,1026,3489,69700
2564,น่าน,3299,3171,65765
2564,พะเยา,6070,2856,61738
2564,เชียงราย,4511,6992,463399
2564,แม่ฮ่องสอน,709,260,23030
2564,อุตรดิตถ์,202,264,50263
2564,นครสวรรค์,852,188,95775
2564,อุทัยธานี,380,412,13170
2564,กำแพงเพชร,1265,51,162979
2564,ตาก,2559,111,121005
2564,พิษณุโลก,0,1265,142819
2564,พิจิตร,519,53,68281
2564,เพชรบูรณ์,3685,1325,153909
2564,สุโขทัย,155,0,70045
2564,ราชบุรี,17660,0,346272
2564,กาญจนบุรี,9768,35,90482
2564,สุพรรณบุรี,2494,0,113023
2564,นครปฐม,9483,0,3735990
2564,สมุทรสาคร,0,0,88579
2564,สมุทรสงคราม,0,0,0
2564,เพชรบุรี,4769,0,26769
2564,ประจวบคีรีขันธ์,1933,46,100657
2564,นครศรีธรรมราช,3464,0,111898
2564,กระบี่,554,0,120585
2564,พังงา,2573,855,32292
2564,ภูเก็ต,0,0,12303
2564,สุราษฎร์ธานี,451,0,125247
2564,ระนอง,0,0,21340
2564,ชุมพร,420,0,27040
2564,ตรัง,4989,240,67762
2564,พัทลุง,2256,17,239695
2564,สงขลา,4237,15,26677
2564,สตูล,2454,0,15348
