period_ym,year_ce,month_num,category_level,sector,group_name,category_name,price_index,mom_pct,yoy_pct,aoa_pct,base_year,source_file
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,เครื่องจักรและเครื่องมือ,เครื่องจักรที่ใช้งานทั่วไป,108.6,0.0,0.0,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,เครื่องจักรและเครื่องมือ,เครื่องจักรที่ใช้ในงานเฉพาะอย่าง,97.8,0.0,0.0,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,ยานยนต์ ชิ้นส่วนและอุปกรณ์,ยานยนต์ ชิ้นส่วนและอุปกรณ์,103.3,0.0,-0.2,-0.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ยานยนต์ ชิ้นส่วนและอุปกรณ์,ยานยนต์,103.5,0.0,-0.1,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ยานยนต์ ชิ้นส่วนและอุปกรณ์,ตัวถังยานยนต์ รถพ่วงและรถกึ่งพ่วง,104.9,0.0,0.0,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ยานยนต์ ชิ้นส่วนและอุปกรณ์,ชิ้นส่วนและอุปกรณ์เสริมสำหรับยานยนต์,99.9,0.0,0.0,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,จักรยานยนต์ จักรยาน ชิ้นส่วนและอุปกรณ์,จักรยานยนต์ จักรยาน ชิ้นส่วนและอุปกรณ์,100.0,0.0,0.0,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,อุปกรณ์ขนส่ง ซึ่งมิได้จัดประเภทไว้ในที่อื่น,อุปกรณ์ขนส่ง ซึ่งมิได้จัดประเภทไว้ในที่อื่น,100.0,0.0,0.0,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,เฟอร์นิเจอร์,เฟอร์นิเจอร์,105.2,0.3,0.1,-0.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์อุตสาหกรรมอื่นๆ,ผลิตภัณฑ์อุตสาหกรรมอื่นๆ,190.7,-5.0,29.4,37.6,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์อุตสาหกรรมอื่นๆ,เครื่องประดับเพชรพลอย เครื่องประดับอัญมณี และสิ่งของที่เกี่ยวข้อง,214.8,-5.6,34.6,44.6,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์อุตสาหกรรมอื่นๆ,เครื่องกีฬา,101.7,0.0,-5.5,-5.5,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์อุตสาหกรรมอื่นๆ,เครื่องมือและอุปกรณ์ในทางการแพทย์และทางทันตกรรม,100.5,0.0,-1.4,-1.6,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์อุตสาหกรรมอื่นๆ,ผลิตภัณฑ์อื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,100.0,0.0,0.0,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-05,2026,5,0,รวมทุกรายการ,รวมทุกรายการ,รวมทุกรายการ,116.0,-1.3,8.5,4.3,2564 = 100,ดัชนีราคาผู้ผลิต_(พ.ค 69).xlsx
2026-05,2026,5,1,ผลิตภัณฑ์เกษตรกรรม และการประมง,,ผลิตภัณฑ์เกษตรกรรม และการประมง,112.5,2.4,3.6,-4.0,2564 = 100,ดัชนีราคาผู้ผลิต_(พ.ค 69).xlsx
2026-05,2026,5,2,ผลิตภัณฑ์เกษตรกรรม และการประมง,ผลิตภัณฑ์ทางการเกษตร,ผลิตภัณฑ์ทางการเกษตร,112.5,2.6,3.8,-4.4,2564 = 100,ดัชนีราคาผู้ผลิต_(พ.ค 69).xlsx
2026-05,2026,5,3,ผลิตภัณฑ์เกษตรกรรม และการประมง,ผลิตภัณฑ์ทางการเกษตร,พืชล้มลุก,114.1,1.8,3.8,-0.5,2564 = 100,ดัชนีราคาผู้ผลิต_(พ.ค 69).xlsx
2026-05,2026,5,3,ผลิตภัณฑ์เกษตรกรรม และการประมง,ผลิตภัณฑ์ทางการเกษตร,พืชยืนต้น,117.8,5.7,10.5,-9.5,2564 = 100,ดัชนีราคาผู้ผลิต_(พ.ค 69).xlsx
2026-05,2026,5,3,ผลิตภัณฑ์เกษตรกรรม และการประมง,ผลิตภัณฑ์ทางการเกษตร,สัตว์,100.2,-0.9,-6.8,-5.5,2564 = 100,ดัชนีราคาผู้ผลิต_(พ.ค 69).xlsx
2026-05,2026,5,2,ผลิตภัณฑ์เกษตรกรรม และการประมง,ผลิตภัณฑ์จากการประมง,ผลิตภัณฑ์จากการประมง,109.3,0.9,-1.0,-2.4,2564 = 100,ดัชนีราคาผู้ผลิต_(พ.ค 69).xlsx
