period_ym,year_ce,year_be,month_num,month_name_th,row_order,category_level,sector,group_name,category_name,index_current_month,index_prev_month,index_prev_year_same_month,mom_change_pct,yoy_change_pct,aoa_change_pct,base_year,source_file
2026-04,2026,2569,4,เมษายน,34,2,ผลิตภัณฑ์อุตสาหกรรม,สิ่งทอ,สิ่งทอ,104.8,103.5,105.1,1.3,-0.3,-1.4,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,35,3,ผลิตภัณฑ์อุตสาหกรรม,สิ่งทอ,เส้นใย และสิ่งทอ,105.8,104.2,105.8,1.5,0.0,-1.4,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,36,3,ผลิตภัณฑ์อุตสาหกรรม,สิ่งทอ,สิ่งทอประเภทอื่นๆ,101.1,100.8,102.6,0.3,-1.5,-1.7,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,37,2,ผลิตภัณฑ์อุตสาหกรรม,เสื้อผ้าเครื่องแต่งกาย,เสื้อผ้าเครื่องแต่งกาย,103.0,102.7,102.7,0.3,0.3,0.2,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,38,3,ผลิตภัณฑ์อุตสาหกรรม,เสื้อผ้าเครื่องแต่งกาย,เสื้อผ้าเครื่องแต่งกาย (ยกเว้นเสื้อผ้าเครื่องแต่งกายที่ทำจากขนสัตว์),102.7,102.4,102.4,0.3,0.3,0.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,39,3,ผลิตภัณฑ์อุตสาหกรรม,เสื้อผ้าเครื่องแต่งกาย,เครื่องแต่งกายที่ทำจากการถักนิตและโครเชต์,104.3,104.2,104.2,0.1,0.1,-0.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,40,2,ผลิตภัณฑ์อุตสาหกรรม,เครื่องหนังและผลิตภัณฑ์,เครื่องหนังและผลิตภัณฑ์,102.6,102.0,102.0,0.6,0.6,-0.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,41,3,ผลิตภัณฑ์อุตสาหกรรม,เครื่องหนังและผลิตภัณฑ์,หนังฟอก กระเป๋าเดินทาง กระเป๋าถือ และผลิตภัณฑ์หนังอื่นๆ,102.8,102.8,103.3,0.0,-0.5,-0.5,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,42,3,ผลิตภัณฑ์อุตสาหกรรม,เครื่องหนังและผลิตภัณฑ์,รองเท้า,102.9,101.2,100.6,1.7,2.3,0.3,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,43,2,ผลิตภัณฑ์อุตสาหกรรม,ไม้และผลิตภัณฑ์จากไม้,ไม้และผลิตภัณฑ์จากไม้,103.9,103.5,102.6,0.4,1.3,0.6,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,44,3,ผลิตภัณฑ์อุตสาหกรรม,ไม้และผลิตภัณฑ์จากไม้,ไม้ที่ได้จากการเลื่อยและไส,105.7,104.8,102.0,0.9,3.6,1.8,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,2569,4,เมษายน,45,3,ผลิตภัณฑ์อุตสาหกรรม,ไม้และผลิตภัณฑ์จากไม้,ผลิตภัณฑ์จากไม้,103.2,103.0,102.8,0.2,0.4,0.2,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
