ปี,ฤดูกาล,อำเภอ,ประเภทข้าว,จำนวน,หน่วย
2567,ข้าวนาปี,อำเภอสนามชัยเขต,ข้าวเหนียว,1343,ตัน
2567,ข้าวนาปี,อำเภอแปลงยาว,ข้าวเจ้า,1936,ตัน
2567,ข้าวนาปี,อำเภอแปลงยาว,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปี,อำเภอท่าตะเกียบ,ข้าวเจ้า,0,ตัน
2567,ข้าวนาปี,อำเภอท่าตะเกียบ,ข้าวเหนียว,94,ตัน
2567,ข้าวนาปี,อำเภอคลองเขื่อน,ข้าวเจ้า,47331,ตัน
2567,ข้าวนาปี,อำเภอคลองเขื่อน,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,ข้าวเจ้า,122363,ตัน
2567,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปรัง,อำเภอบางคล้า,ข้าวเจ้า,11763,ตัน
2567,ข้าวนาปรัง,อำเภอบางคล้า,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,ข้าวเจ้า,149760,ตัน
2567,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปรัง,อำเภอบางปะกง,ข้าวเจ้า,5289,ตัน
2567,ข้าวนาปรัง,อำเภอบางปะกง,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปรัง,อำเภอบ้านโพธิ์,ข้าวเจ้า,18376,ตัน
2567,ข้าวนาปรัง,อำเภอบ้านโพธิ์,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปรัง,อำเภอพนมสารคาม,ข้าวเจ้า,50849,ตัน
2567,ข้าวนาปรัง,อำเภอพนมสารคาม,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปรัง,อำเภอราชสาส์น,ข้าวเจ้า,26501,ตัน
2567,ข้าวนาปรัง,อำเภอราชสาส์น,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปรัง,อำเภอสนามชัยเขต,ข้าวเจ้า,84,ตัน
2567,ข้าวนาปรัง,อำเภอสนามชัยเขต,ข้าวเหนียว,1343,ตัน
2567,ข้าวนาปรัง,อำเภอแปลงยาว,ข้าวเจ้า,1936,ตัน
2567,ข้าวนาปรัง,อำเภอแปลงยาว,ข้าวเหนียว,0,ตัน
2567,ข้าวนาปรัง,อำเภอท่าตะเกียบ,ข้าวเจ้า,0,ตัน
2567,ข้าวนาปรัง,อำเภอท่าตะเกียบ,ข้าวเหนียว,94,ตัน
2567,ข้าวนาปรัง,อำเภอคลองเขื่อน,ข้าวเจ้า,47331,ตัน
2567,ข้าวนาปรัง,อำเภอคลองเขื่อน,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปี,อำเภอเมืองฉะเชิงเทรา,ข้าวเจ้า,79851,ตัน
2566,ข้าวนาปี,อำเภอเมืองฉะเชิงเทรา,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปี,อำเภอเมืองฉะเชิงเทรา,ข้าวเจ้า,79851,ตัน
2566,ข้าวนาปี,อำเภอเมืองฉะเชิงเทรา,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปี,อำเภอบางคล้า,ข้าวเจ้า,10578,ตัน
2566,ข้าวนาปี,อำเภอบางคล้า,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปี,อำเภอบางน้ำเปรี้ยว,ข้าวเจ้า,157844,ตัน
2566,ข้าวนาปี,อำเภอบางน้ำเปรี้ยว,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปี,อำเภอบางปะกง,ข้าวเจ้า,6903,ตัน
2566,ข้าวนาปี,อำเภอบางปะกง,ข้าวเหนียว,0,ตัน
